,taxa 1,taxa 2,taxa 3,taxa 4,taxa 5,taxa 6,taxa 7,taxa 8,taxa 9,taxa 10,taxa 11,taxa 12,taxa 13,taxa 14,taxa 15,taxa 16,taxa 17,taxa 18,taxa 19,taxa 20,taxa 21,taxa 22,taxa 23,taxa 24,taxa 25,taxa 26,taxa 27,taxa 28,taxa 29,taxa 30,taxa 31,taxa 32,taxa 33,taxa 34,taxa 35,taxa 36,taxa 37,taxa 38,taxa 39,taxa 40,taxa 41,taxa 42,taxa 43,taxa 44,taxa 45,taxa 46,taxa 47,taxa 48,taxa 49,taxa 50,taxa 51,taxa 52,taxa 53,taxa 54,taxa 55,taxa 56,taxa 57,taxa 58,taxa 59,taxa 60,taxa 61,taxa 62,taxa 63,taxa 64,taxa 65,taxa 66,taxa 67,taxa 68,taxa 69,taxa 70,taxa 71,taxa 72,taxa 73,taxa 74,taxa 75,taxa 76,taxa 77,taxa 78,taxa 79,taxa 80,taxa 81,taxa 82,taxa 83,taxa 84,taxa 85,taxa 86,taxa 87,taxa 88,taxa 89,taxa 90,taxa 91,taxa 92
sample 100,0,1101,107,0,0,5,33,90,0,358,164,7,0,0,5,0,4,0,0,1188,0,0,0,8,0,10,0,0,0,0,0,0,35,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 101,7,4389,718,0,0,113,323,431,0,1164,994,68,52,20,59,11,71,0,0,2105,0,6,0,44,0,139,0,0,6,136,0,12,177,0,0,136,0,0,0,21,0,0,0,0,0,0,0,13,12,154,0,5,22,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,231,194,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 102,6,1049,164,0,137,0,157,638,32,877,0,17,0,84,101,8,72,0,0,7,0,0,0,442,0,0,0,0,75,50,197,214,3,0,30,0,0,24,0,43,14,0,0,5,511,34,0,26,20,0,0,78,0,0,70,0,0,178,23,0,0,0,0,0,36,0,0,21,49,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 103,3,731,63,0,26,2,109,187,7,116,0,0,0,24,41,0,21,0,77,11,0,0,0,21,0,0,0,0,11,19,11,16,0,0,11,0,0,0,0,0,4,6,0,0,0,0,3,8,8,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 104,6,165,322,0,17,0,462,53,46,352,0,0,0,5,0,0,81,0,0,0,0,0,0,7,0,17,0,0,3,58,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,19,43,0,9,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 105,0,255,481,0,44,0,420,77,37,2538,0,0,0,78,0,19,159,0,0,0,0,0,0,32,0,0,19,0,0,105,10,7,0,0,0,6,0,0,0,0,0,0,0,0,0,173,0,32,11,10,0,16,0,0,0,0,0,15,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 106,2,1632,27,0,0,0,218,63,6,39,0,24,0,0,0,11,0,0,0,0,0,0,0,54,0,0,0,0,5,57,10,11,0,9,0,0,0,0,0,0,3,0,3,0,0,0,0,0,11,0,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 107,5,485,229,0,2563,0,16,845,161,0,0,14,0,193,434,42,36,0,0,0,0,0,0,116,0,0,0,0,1995,22,49,543,0,18,0,0,0,0,0,15,470,0,25,0,0,48,0,0,0,0,169,0,0,0,7,0,43,58,0,0,0,71,0,0,0,24,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
sample 108,0,2676,108,0,20,0,132,23,3,153,0,12,4,0,103,25,5,0,0,0,0,0,0,62,0,0,0,0,15,21,18,138,0,31,0,0,0,0,13,0,46,13,15,0,0,0,0,22,15,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
sample 109,0,931,20,0,3,0,28,0,0,68,0,8,0,0,17,12,0,0,0,0,0,0,0,20,0,0,0,0,0,102,0,0,0,6,0,0,0,0,0,0,8,0,0,3,0,0,0,3,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
sample 110,12,816,549,0,0,24,205,132,0,1037,0,77,0,19,78,0,6,0,70,2,0,0,0,50,0,0,0,0,7,27,0,0,0,0,5,13,0,24,0,0,3,21,2,15,0,0,0,4,0,0,0,4,0,6,0,0,0,18,0,0,26,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,4,2,0,29,0,0,0,0,0,0,0,0,0,0,0
sample 111,3,3452,1010,0,3,111,411,319,0,1288,7,122,0,39,132,12,275,0,46,0,0,0,0,139,0,0,0,0,0,44,30,16,0,0,15,24,0,16,0,16,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,16,45,0,0,21,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0
sample 112,6,580,193,0,142,36,93,100,0,793,0,16,0,8,38,2,5,0,28,0,0,0,0,7,0,0,0,0,0,23,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 113,64,647,188,2,15,6,35,12,0,0,0,0,0,8,0,55,7,77,0,0,0,0,0,12,0,0,0,0,0,6,0,71,0,0,11,0,0,0,4,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 114,477,1904,175,0,62,43,66,13,30,11,13,38,0,14,24,49,11,212,0,0,0,0,0,38,17,68,0,0,4,0,0,0,74,0,11,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0
sample 115,428,2016,208,5,505,53,61,54,0,11,0,0,0,13,25,46,39,302,2,0,0,0,0,15,0,53,0,0,5,0,0,6,0,0,9,0,181,0,0,5,0,0,5,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 116,107,1610,612,5,139,0,220,182,0,163,0,35,0,0,66,6,0,0,5,0,0,64,0,66,0,29,0,0,0,58,0,20,0,14,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,6,0,0,0,0,0,4,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 117,704,2700,700,5,1328,25,507,2866,15,432,8,41,0,0,122,34,19,0,145,0,0,0,0,224,8,36,0,12,251,220,76,73,48,62,0,6,0,0,0,0,0,47,0,0,0,6,0,12,0,66,0,0,0,16,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 118,9,540,186,0,3616,96,0,529,28,0,0,86,2,61,408,22,364,0,0,0,0,0,0,342,0,0,0,0,1298,71,25,0,0,0,10,0,143,95,0,86,141,0,46,0,0,37,0,0,0,0,32,0,0,0,20,0,51,141,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,58,0,0,0,0,0,0,9,0,6,0,0,0,14,0,0,0,0
sample 119,47,1101,607,0,151,45,174,55,6,63,0,31,0,0,34,0,0,0,4,0,0,0,0,48,4,29,0,0,77,19,0,6,0,37,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 120,3,1052,18,0,0,66,194,53,0,75,0,65,0,45,0,21,6,0,0,0,0,45,0,0,0,0,0,0,0,14,9,9,0,0,8,0,0,0,266,0,0,0,14,0,0,0,11,5,4,7,9,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0
sample 121,13,1904,28,2,0,0,393,136,0,150,0,182,0,27,0,17,0,0,0,0,0,20,0,9,0,0,0,0,0,5,0,30,0,0,0,9,0,0,331,0,0,38,8,11,0,0,0,0,10,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
sample 122,10,5468,93,4,18,65,346,80,0,380,0,23,0,70,23,47,10,0,0,0,0,0,0,0,0,0,0,0,70,56,15,0,0,0,41,35,0,0,528,0,0,10,32,18,0,0,0,12,7,48,0,0,0,0,29,0,0,0,0,0,0,3,0,0,0,0,9,0,7,0,0,0,17,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 123,30,1814,7637,13,469,10,2875,3757,162,306,0,1553,0,26,0,427,274,0,366,0,0,0,0,27,0,132,0,49,17,261,0,89,126,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,132,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,132,8,0,0,53,7,0,0,16,0,0,0,34,0,0,0
sample 124,1186,159,474,0,0,0,180,1652,25,35,0,66,0,8,0,25,9,0,74,0,0,0,0,0,0,21,0,2,0,36,0,15,32,0,0,8,0,4,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
sample 125,5687,1258,3268,0,29,0,956,821,12,393,0,290,0,0,0,222,4,0,416,0,0,0,0,28,0,605,0,0,61,23,0,45,658,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
sample 126,5,1943,170,25,21,8,21,170,2,66,0,19,0,9,26,16,0,0,30,0,9,17,0,30,0,0,0,0,5,0,0,18,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,10,0,13,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 127,0,845,89,3,11,8,57,145,0,40,0,23,0,15,0,21,0,0,6,0,0,47,0,28,0,0,0,0,9,0,12,25,0,0,3,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,5,0,21,0,7,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 128,42,1695,58,0,171,96,42,202,0,62,0,47,0,26,169,33,0,0,204,15,0,79,0,50,8,18,0,0,0,3,63,125,0,0,6,47,0,0,0,9,2,11,0,0,3,0,10,21,0,63,32,8,49,0,7,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,0,0,0,0,0,0,0,0,0,0,0,5,0,0
