,taxa 1,taxa 2,taxa 3,taxa 4,taxa 5,taxa 6,taxa 7,taxa 8,taxa 9,taxa 10,taxa 11,taxa 12,taxa 13,taxa 14,taxa 15,taxa 16,taxa 17,taxa 18,taxa 19,taxa 20,taxa 21,taxa 22,taxa 23,taxa 24,taxa 25,taxa 26,taxa 27,taxa 28,taxa 29,taxa 30,taxa 31,taxa 32,taxa 33,taxa 34,taxa 35,taxa 36,taxa 37,taxa 38,taxa 39,taxa 40,taxa 41,taxa 42,taxa 43,taxa 44,taxa 45,taxa 46,taxa 47,taxa 48,taxa 49,taxa 50,taxa 51,taxa 52,taxa 53,taxa 54,taxa 55,taxa 56,taxa 57,taxa 58,taxa 59,taxa 60,taxa 61,taxa 62,taxa 63,taxa 64,taxa 65,taxa 66,taxa 67,taxa 68,taxa 69,taxa 70,taxa 71,taxa 72,taxa 73,taxa 74,taxa 75,taxa 76,taxa 77,taxa 78,taxa 79,taxa 80,taxa 81,taxa 82,taxa 83,taxa 84,taxa 85,taxa 86,taxa 87,taxa 88,taxa 89,taxa 90,taxa 91,taxa 92
sample 48,133.0,823.0,9704.0,10.0,237.0,11.0,1026.0,119.0,10.0,45.0,0.0,38.0,0.0,0.0,0.0,490.0,10.0,6063.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,271.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,44.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 49,26.0,58.0,2100.0,0.0,109.0,0.0,0.0,941.0,1058.0,19.0,0.0,237.0,0.0,0.0,0.0,28.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,27.0,84.0,0.0,0.0,0.0,30.0,0.0,0.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 50,288.0,98.0,246.0,27.0,11.0,4.0,79.0,16.0,4.0,21.0,0.0,82.0,0.0,4.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 51,0.0,1818.0,176.0,0.0,0.0,206.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,336.0,59.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,4.0,145.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,188.0,0.0,0.0,0.0,7.0,0.0,0.0,225.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,7.0,0.0,0.0,13.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 52,16.0,89.0,48.0,0.0,124.0,2301.0,60.0,86.0,11.0,0.0,0.0,12.0,0.0,9.0,35.0,9.0,3.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 53,6.0,1809.0,494.0,0.0,678.0,1002.0,15.0,1621.0,74.0,0.0,0.0,70.0,0.0,65.0,392.0,17.0,15.0,0.0,0.0,0.0,0.0,7.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,29.0,0.0,8.0,0.0,119.0,0.0,64.0,0.0,0.0,8.0,10.0,223.0,0.0,0.0,0.0,0.0,0.0,5.0,210.0,7.0,0.0,27.0,106.0,4.0,0.0,0.0,21.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 54,266.0,1350.0,237.0,0.0,900.0,123.0,410.0,1143.0,657.0,2.0,0.0,171.0,0.0,35.0,168.0,70.0,0.0,0.0,271.0,0.0,0.0,42.0,0.0,83.0,0.0,171.0,0.0,0.0,0.0,6.0,18.0,67.0,238.0,30.0,136.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,4.0,64.0,0.0,0.0,0.0,43.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 55,28.0,3737.0,3500.0,10.0,397.0,75.0,2319.0,1088.0,1036.0,7.0,0.0,813.0,0.0,699.0,113.0,73.0,0.0,57.0,0.0,0.0,0.0,154.0,0.0,69.0,0.0,0.0,0.0,0.0,33.0,63.0,49.0,50.0,35.0,151.0,437.0,0.0,0.0,6.0,0.0,35.0,4.0,13.0,5.0,232.0,0.0,0.0,64.0,2.0,0.0,0.0,0.0,30.0,394.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,2.0,0.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 56,5.0,595.0,204.0,0.0,227.0,970.0,390.0,796.0,64.0,0.0,0.0,133.0,0.0,241.0,20.0,28.0,4.0,0.0,171.0,0.0,0.0,15.0,24.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,29.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,11.0,67.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 57,7.0,2548.0,1169.0,0.0,1961.0,537.0,632.0,795.0,284.0,0.0,0.0,41.0,0.0,30.0,39.0,31.0,20.0,4.0,84.0,0.0,0.0,21.0,105.0,20.0,0.0,19.0,0.0,0.0,0.0,8.0,0.0,15.0,0.0,14.0,16.0,11.0,0.0,5.0,0.0,28.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,19.0,0.0,0.0,0.0,12.0,684.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,24.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 58,7.0,4588.0,3003.0,27.0,9.0,39.0,200.0,4042.0,2923.0,2.0,0.0,193.0,22.0,248.0,188.0,576.0,64.0,0.0,0.0,0.0,0.0,59.0,32.0,85.0,0.0,24.0,4.0,0.0,18.0,459.0,172.0,67.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,12.0,0.0,0.0,8.0,0.0,0.0,182.0,0.0,46.0,0.0,0.0,15.0,62.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,13.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0
sample 59,10.0,1634.0,2537.0,20.0,8.0,8.0,146.0,1859.0,585.0,0.0,0.0,26.0,29.0,204.0,188.0,746.0,191.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,63.0,110.0,124.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,2.0,101.0,0.0,41.0,0.0,50.0,0.0,0.0,0.0,150.0,0.0,0.0,6.0,0.0,0.0,46.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
